Name,Ticker,Pricing Source,Security Type,Market Sector,BBGID,BBGID Composite,BSID,Unique ID
ENERSIS SA,XENI,SQ,Common Stock,Equity,BBG000BTT4P6,BBG000BTT2S7,2044405030635,EQ0000000000070583
EMPRESA NACIONAL DE ELECTRIC,XEOC,SQ,Common Stock,Equity,BBG000BC5QD3,BBG000BC5N04,2044404957718,EQ0000000000070587
VALE SA,XVALO,SQ,Common Stock,Equity,BBG000BN4528,BBG000BN4387,2044404994963,EQ0000000000139302
PETROBRAS - PETROLEO BRAS,XPBR,SQ,Common Stock,Equity,BBG000C1F774,BBG000C1F417,2044405079601,EQ0000000000250916
NATRACEUTICAL SA,NTC,SQ,Common Stock,Equity,BBG000P9B6Y9,BBG000P9B4M7,2044405083643,EQ0000000000348087
BANCO DE CHILE,XBCH,SQ,Common Stock,Equity,BBG000DGV1C9,BBG000DGSXJ6,2044405084199,EQ0000000000361975
ANTENA 3 TELEVISION,A3TV,SQ,Common Stock,Equity,BBG000F5P4Y8,BBG000F5P2F3,2044405078204,EQ0000000000452806
TAVEX ALGODONERA S.A.-NEW,ASA/N,SQ,Common Stock,Equity,BBG000C0H9Y0,BBG000C0H7P4,2044405087779,EQ0000000000488915
GRUPO MODELO S.A.B.-SER C,XGMD,SQ,Common Stock,Equity,BBG000LSNM82,BBG000LSNJS7,2044405026137,EQ0000000000832726
ALFA S.A.B.-A,XALFA,SQ,Common Stock,Equity,BBG000BRRVY2,BBG000BRRS24,2044405043555,EQ0000000000872968
VOCENTO SA,VOC,SQ,Common Stock,Equity,BBG000K76TZ3,BBG000K76Q34,2044405063932,EQ0000000000950363
VUELING AIRLINES SA,VLG,SQ,Common Stock,Equity,BBG000BM58F9,BBG000BM55P4,2044404986218,EQ0000000001124994
BOLSAS Y MERCADOS ESPANOLES,BME,SQ,Common Stock,Equity,BBG000BN1T92,BBG000BN1RD1,2044404988627,EQ0000000001125334
GENERAL DE ALQUILER DE MAQUI,GALQ,SQ,Common Stock,Equity,BBG000LSK421,BBG000LSGX40,2044405071793,EQ0000000001215281
TV AZTECA SAB DE CV-CPO,XTZA,SQ,Common Stock,Equity,BBG000C1GXM9,BBG000C1GV89,2044405001809,EQ0000000001457796
GRUPO ELEKTRA SA,XEKT,SQ,Common Stock,Equity,BBG000K8RKM1,BBG000K8RFX0,2044405006398,EQ0000000001457856
RENTA CORP REAL ESTATE SA,REN,SQ,Common Stock,Equity,BBG000QNK3M7,BBG000QNK070,2044405111714,EQ0000000001503739
LABORATORIOS FARMACEUTICOS R,ROVI,SQ,Common Stock,Equity,BBG000QP07P2,BBG000QP0656,2044408314742,EQ0000000001510634
CORP DERMOESTETICA,DERM,SQ,Common Stock,Equity,BBG000GRF3L6,BBG000GRF0D1,2044405123810,EQ0000000001769193
CODERE SA,CDR,SQ,Common Stock,Equity,BBG000HV4N25,BBG000HV4HM6,2044406112726,EQ0000000001889718
CORPORACION GEO SAB-SER B,XGEO,SQ,Common Stock,Equity,BBG000PX9HC9,BBG000PX9FT5,2044405114181,EQ0000000001986236
SARE HOLDING SAB DE CV-CL B,XSARE,SQ,Common Stock,Equity,BBG000Q02GS2,BBG000Q02F04,2044405092651,EQ0000000002106596
GRIFOLS SA,GRF,SQ,Common Stock,Equity,BBG000KXRSZ5,BBG000KXQMX1,2044405140676,EQ0000000002382372
FERSA ENERGIAS RENOVABLES SA,FRS,SQ,Common Stock,Equity,BBG000D7WWF7,BBG000D7VQ89,2044405858573,EQ0000000002429519
QUABIT INMOBILIARIA SA,QBT,SQ,Common Stock,Equity,BBG000D2GYR9,BBG000D2GWM8,2044405102621,EQ0000000002524626
ARCELORMITTAL,MTS,SQ,Common Stock,Equity,BBG000F1JJ35,BBG000F1HBR8,2044405179477,EQ0000000002695195
ALMIRALL SA,ALM,SQ,Common Stock,Equity,BBG000BKD4V5,BBG000BKD1G8,2044405979153,EQ0000000003284481
REALIA BUSINESS SA,RLIA,SQ,Common Stock,Equity,BBG000GTD771,BBG000GTD3N2,2044405891781,EQ0000000003318594
CLINICA BAVIERA SA,CBAV,SQ,Common Stock,Equity,BBG000PGB5Q4,BBG000PGB2C6,2044405858684,EQ0000000003357295
USINAS SIDERURGICAS DE MINAS,XUSIO,SQ,Common Stock,Equity,BBG000QG4M20,BBG000QG4J81,2044405796810,EQ0000000003493304
SOLARIA ENERGIA Y MEDIO AMBI,SLR,SQ,Common Stock,Equity,BBG000PN0XY1,BBG000PN0WF4,2044406113011,EQ0000000003594246
REYAL URBIS SA,REY,SQ,Common Stock,Equity,BBG000RG9PQ1,BBG000RG9MF0,2044406133298,EQ0000000003611657
VERTICE TRESCIENTOS SESENTA,VER,SQ,Common Stock,Equity,BBG000B9ZK40,BBG000B9ZG12,2044406580818,EQ0000000003824765
CRITERIA CAIXACORP SA,CRI,SQ,Common Stock,Equity,BBG000TFZQH0,BBG000TFZP37,2044406922593,EQ0000000004559490
FLUIDRA SA,FDR,SQ,Common Stock,Equity,BBG000TKCTY9,BBG000TKCRG3,2044407457475,EQ0000000004671708
IBERDROLA RENOVABLES SA,IBR,SQ,Common Stock,Equity,BBG000TYHCQ0,BBG000TYH9S5,2044408582470,EQ0000000005129058
MARTINSA FADESA SA,MTF,SQ,Common Stock,Equity,BBG000V0GFP6,BBG000V0GDV4,2044408731277,EQ0000000005243696
NORDINVEST SIL SA,3198441Z,SQ,Common Stock,Equity,BBG000GW4JH7,BBG000GW3CQ3,2044413660002,EQ0000000007804297
GRUPO FINANCIERO BANORTE-O,XNOR,SQ,Common Stock,Equity,BBG000RV8GZ9,BBG000RV8C97,2044415000977,EQ0000000008469097
GRUPO EMPRESARIAL SAN JOSE,GSJ,SQ,Common Stock,Equity,BBG000N5FDH9,BBG000N5F817,2044415197696,EQ0000000008603515
ZINKIA ENTERTAINMENT SA,ZNK,SQ,Common Stock,Equity,BBG000NGJJ42,BBG000NGJD90,2044415360574,EQ0000000008701058
IMAGINARIUM SA,IMG,SQ,Common Stock,Equity,BBG000PYMG07,BBG000PYMD31,2044418282102,EQ0000000009385801
COMMCENTER SA,CMM,SQ,Common Stock,Equity,BBG001CWPYB9,BBG000QDDCR2,2044424098193,EQ0000000009801476
GRUPO GOWEX,GOW,SQ,Common Stock,Equity,BBG000QH0GJ7,BBG000QH0DW9,2044420091695,EQ0000000009865745
MEDCOM TECH SA,MED,SQ,Common Stock,Equity,BBG000QKH524,BBG000QKH2R4,2044420339780,EQ0000000010008277
BANCA CIVICA SA,3576623Z,SQ,Common Stock,Equity,BBG001M4B591,BBG000QLT583,2044425547102,EQ0000000010043203
AMADEUS IT HOLDING SA-A SHS,AMS,SQ,Common Stock,Equity,BBG000QSDZF1,BBG000QSDXN7,2044420704311,EQ0000000010192938
NEGOCIO & ESTILO DE VIDA SA,NEG,SQ,Common Stock,Equity,BBG000QVSGN1,BBG000QVSD21,2044420892345,EQ0000000010247719
NEURON BIOPHARMA SA,NEU,SQ,Common Stock,Equity,BBG000R3JC88,BBG000R3J976,2044421696527,EQ0000000010511382
BODACLICK SA,BDK,SQ,Common Stock,Equity,BBG000R3K466,BBG000R3K279,2044421697231,EQ0000000010513374
AB-BIOTICS SA,ABB,SQ,Common Stock,Equity,BBG000BDW9T2,BBG000BDW7B5,2044422103085,EQ0000000010633147
ENEL GREEN POWER SPA,EGPW,SQ,Common Stock,Equity,BBG0017VPYH1,BBG0017VPYB7,2044423164748,EQ0000000011487440
GRUPO NOSTRUM RNL S.A.,NOS,SQ,Common Stock,Equity,BBG0018Q53H1,BBG0018Q53B7,2044423369728,EQ0000000011979479
PROMOTORA DE INFORMACIONES-B,PRS/P,SQ,Common Stock,Equity,BBG0019VZKP9,BBG0019P4SN1,2044423707952,EQ0000000012231427
ALTIA CONSULTORES SA,ALC,SQ,Common Stock,Equity,BBG0019R2HD4,BBG0019R2H71,2044423665292,EQ0000000012243230
EURONA WIRELESS TELECOM SA,EWT,SQ,Common Stock,Equity,BBG001BD5FL4,BBG001BD5FF1,2044423803128,EQ0000000013279133
